arch,syscall,syscall_name
c000003e,0,read
c000003e,1,write
c000003e,2,open
c000003e,21,access
c000003e,59,execve
c000003e,76,truncate
c000003e,77,ftruncate
c000003e,82,rename
c000003e,83,mkdir
c000003e,84,rmdir
c000003e,85,creat
c000003e,87,unlink
c000003e,90,chmod
c000003e,91,fchmod
c000003e,92,chown
c000003e,93,fchown
c000003e,94,lchown
c000003e,105,setuid
c000003e,106,setgid
c000003e,113,setreuid
c000003e,117,setresuid
c000003e,257,openat
c000003e,258,mkdirat
c000003e,260,fchownat
c000003e,263,unlinkat
c000003e,264,renameat
c000003e,268,fchmodat
c000003e,269,faccessat
c000003e,316,renameat2
c000003e,322,execveat
c000003e,437,openat2
c000003e,439,faccessat2
